detectedEmotion,emotion,emotionsList,lemmatisation,rate,resultOfDetecting,text,words,wordsAfterLemmatisation,wordsFound
neutral,positive,[],"[ma, to, co, powinien, mieć, ekspres, do, kawy, dla, mnie, w, zupełności, wystarcza]",4.0,0.0,Ma to co powinien mieć ekspres do kawy. Dla mnie w zupełności wystarcza.,13.0,13.0,0.0
neutral,positive,[],"[ok, mogę, polecić]",4.0,0.0,"ok, mogę polecić",3.0,3.0,0.0
neutral,positive,[],"[dobra, jakość, w, niskiej, cenie]",4.0,0.0,dobra jakość w niskiej cenie,5.0,5.0,0.0
positive,positive,[zadowolony],"[ekspres, robi, naprawdę, bardzo, dobrą, kawę, dobrze, spienia, mleko, narazie, jestem, bardzo, zadowolony]",4.0,0.07692307692307693,Ekspres robi naprawdę bardzo dobrą kawę .Dobrze spienia mleko .Narazie jestem bardzo zadowolony.,13.0,13.0,1.0
positive,positive,"[ładny, najlepszy, jedyny, problem, woda, ogólnie, zadowolony]","[ekspres, bardzo, ładny, intuicyjna, obsługa, bardzo, dobra, kawa, najlepszy, produkt, w, tym, segmencie, jedyny, problem, to, kapiąca, woda, z, głowicy, przy, spienianiu, mleka, ale, może, wszystkie, tak, mają, i, to, ciągłe, podgrzewanie, górnej, płyty, przez, co, trzeba, odłączać, ekspres, od, sieci, ale, ogólnie, jestem, bardzo, zadowolony, z, zakupu, i, polecam, a, znakomita, kawa, robi, furorę, wśród, znajomych]",5.0,0.05701754385964912,"Ekspres bardzo ładny, intuicyjna obsługa, bardzo dobra kawa. Najlepszy produkt w tym segmencie. 
Jedyny problem to kapiąca woda z głowicy przy spienianiu mleka.. ale może wszystkie tak mają. ..i to ciągłe podgrzewanie górnej płyty, przez co trzeba odłączać ekspres od sieci.
Ale ogólnie jestem bardzo zadowolony z zakupu i polecam, a znakomita kawa robi furorę wśród znajomych.",57.0,57.0,7.0
positive,positive,"[drugi, zadowolony]","[drugi, tydzień, użytkowania, i, jestem, bardzo, zadowolony]",4.0,0.17857142857142858,drugi tydzień użytkowania i jestem bardzo zadowolony,7.0,7.0,2.0
negative,positive,"[nic, nic]","[działa, rewelacyjnie, nic, dodać, nic, ująć, polecam, kawa, przepyszna]",4.0,-0.4444444444444444,"działa rewelacyjnie, nic dodać nic ująć
polecam, kawa przepyszna",9.0,9.0,2.0
neutral,positive,[],"[super, expres, polecam, każdemu]",5.0,0.0,Super expres polecam każdemu!,4.0,4.0,0.0
negative,positive,"[nic, głośny, problem]","[ekspres, w, pełni, spełnia, moje, oczekiwania, przyrządza, pyszne, espresso, ładnie, wygląda, i, niewiele, kosztuje, nic, się, nie, psuje, jak, do, tej, pory, i, wcale, nie, jest, taki, głośny, jak, niektórzy, opisują, mam, jedynie, problem, ze, spienianiem, mleka, ale, tego, trzeba, się, nauczyć]",4.0,-0.09523809523809523,"Ekspres w pełni spełnia moje oczekiwania. Przyrządza pyszne espresso. Ładnie wygląda i niewiele kosztuje. Nic się nie psuje (jak do tej pory) i wcale nie jest taki głośny jak niektórzy opisują. Mam jedynie problem ze spienianiem mleka, ale tego trzeba się nauczyć :)",43.0,42.0,3.0
negative,positive,"[gorąco, nim]","[polecam, gorąco, ekspres, zelmer, w, pełni, zgadzam, się, z, wcześniejszymi, opiniami, na, temat, jego, wyglądu, funkcjonalności, prostoty, obsługi, itp, jestem, nim, oczarowana]",5.0,-0.045454545454545456,"Polecam gorąco ekspres ZELMER. W pełni zgadzam się z wcześniejszymi opiniami na temat jego wyglądu, funkcjonalności, prostoty obsługi, itp. Jestem nim oczarowana!",22.0,22.0,2.0
neutral,positive,[],"[polecam, wszystkim, zarówno, sklep, jak, i, produkt, ekspres, parzy, super, kawę, i, naprawdę, jego, obsługa, jest, samą, przyjemnością]",5.0,0.0,Polecam wszystkim zarówno sklep jak i produkt. Ekspres parzy super kawę i naprawdę jego obsługa jest samą przyjemnością.,18.0,18.0,0.0
positive,positive,"[fajny, głośny, wiec]","[fajny, ekspres, w, dobrej, cenie, jakościowo, w, porządku, jak, przystało, na, zelmera, głośny, tez, niejest, za, bardzo, wiec, ok, idealna, rownowaga, pomiedzy, ceną, a, oczekiwaniami]",5.0,0.02,"fajny ekspres w dobrej cenie. jakościowo w porządku, jak przystało na zelmera. głośny tez niejest za bardzo wiec ok. idealna rownowaga pomiedzy ceną a oczekiwaniami.",25.0,25.0,3.0
positive,positive,"[cichy, dokładnie, każdy, sam, raz, pierwszy, godny]","[ekspres, jest, cichy, w, użyciuwszystko, dokładnie, jest, opisane, w, szczegłowej, instrukcji, która, ma, obrazy, z, poszczególnych, czynnościkawę, każdy, zrobi, sam, nawet, jeśli, kupił, po, raz, pierwszy, ekspres, do, kawyjest, godny, polecenia]",5.0,0.029953917050691246,"ekspres jest cichy w użyciu,wszystko dokładnie jest opisane w szczegłowej instrukcji która ma obrazy z poszczególnych czynności.Kawę każdy zrobi sam nawet jeśli kupił po raz pierwszy ekspres do kawy.Jest godny polecenia.",31.0,31.0,7.0
neutral,positive,[],"[instrukcja, jest, czytelna, i, zrozumiała, do, tego, są, rysunki, poszczególnych, faz, realizacji, kawyekspres, chodzi, cichonic, nie, skacze, kawa, smaczna]",5.0,0.0,"instrukcja jest czytelna i zrozumiała do tego są rysunki poszczególnych faz realizacji kawy.Ekspres chodzi cicho,nic nie skacze kawa smaczna .",20.0,19.0,0.0
neutral,positive,[],"[ekspres, super, polecam, wszystkim, wielbicielomkom, kawy]",5.0,0.0,Ekspres super. polecam wszystkim wielbicielom/kom kawy.,6.0,6.0,0.0
positive,positive,"[sympatyczny, znacząco, zgrabny, ktoś, przyzwoity]","[bardzo, sympatyczny, express, do, kawyjak, na, cenę, tego, produktu, ilość, funkcji, i, jakość, parzonej, kawy, jest, rewelacyjna, w, smaku, nie, odbiega, znacząco, od, kaw, parzonych, w, expresach, z, wyższej, półkibardzo, dobrze, spienia, mleko, wyglądbardzo, estetycznyexpress, zgrabny, i, malutkijesli, ktoś, nie, chce, wydawać, więćej, niż, 1000zl, na, express, a, mimo, to, mieć, na, prawde, przyzwoity, produktpolecam]",5.0,0.07727272727272727,"Bardzo sympatyczny express do kawy,jak na cenę tego produktu ilość funkcji i jakość parzonej kawy jest rewelacyjna (w smaku nie odbiega znacząco od kaw parzonych w expresach z wyższej półki).Bardzo dobrze spienia mleko.
Wygląd-bardzo estetyczny,express zgrabny i malutki.Jesli ktoś nie chce wydawać więćej niż 1000zl na express a mimo to mieć na prawde przyzwoity produkt-POLECAM!",55.0,55.0,5.0
neutral,positive,[],"[ekspres, rewelacja, robi, pyszna, kawejedynym, minusem, jest, brak, wylaczania, grzania, plyty, na, gorze, ekspresu]",5.0,0.0,"ekspres rewelacja, robi pyszna kawe.jedynym minusem jest brak wylaczania grzania plyty na gorze ekspresu.",14.0,14.0,0.0
positive,positive,"[szybkość, zadowolony]","[prosta, obsługa, szybkość, jestem, zadowolony, cena, w, sklepie, elektropl, rewelacyjna, oszczędziłem, 200, zł]",4.0,0.07692307692307693,"Prosta obsługa, szybkość, jestem zadowolony. Cena w sklepie elektro.pl rewelacyjna - oszczędziłem 200 zł!",14.0,13.0,2.0
neutral,positive,[],"[ekspres, ładnie, się, prezentuje, najważniejszeże, jest, ze, stali, nierdzewneja, nie, z, plastiku, cena, nie, przerażaa, kawusia, jest, przepyszna, i, doskonale, spienia, mleko]",4.0,0.0,"Ekspres ładnie się prezentuje. Najważniejsze,że jest ze stali nierdzewnej(a nie z plastiku). Cena nie przeraża,a kawusia jest przepyszna i doskonale spienia mleko.",22.0,22.0,0.0
neutral,positive,"[maestro, jedyny, minus]","[kupiłam, ekspresik, kilka, dni, temu, zanim, jednak, to, zrobiłam, spędziłam, kilkanaście, dni, na, szperaniu, w, necie, na, temat, wieluuu, ekspresów, wybór, padł, na, zelmera, maestro, choć, zrobiłam, dopiero, kilka, kaw, pysznych, zresztą, wszystko, zależy, oczywiście, od, rodzaju, samej, kawy, jestem, bardzo, zadowolona, z, tego, wyboru, pierwsze, wrazenie, liczy, się, przecież, równie, ważnie, jak, dalsze, użytkowanie, jedyny, minus, to, ta, płyta, do, filiżanek, do, użytku, domowego, rzeczywiście, zbędne]",5.0,0.0,"Kupiłam ekspresik kilka dni temu; zanim jednak to zrobiłam spędziłam kilkanaście dni na szperaniu w necie na temat wieluuu ekspresów. Wybór padł na Zelmera Maestro. Choć zrobiłam dopiero kilka kaw (pysznych zresztą)- wszystko zależy oczywiście od rodzaju samej kawy- jestem bardzo zadowolona z tego wyboru - pierwsze wrazenie liczy się przecież równie ważnie jak dalsze użytkowanie.
Jedyny minus to ta płyta do filiżanek, do użytku domowego rzeczywiście zbędne.",68.0,67.0,3.0
neutral,positive,[],"[sami, zobaczcie, czy, ta, poranna, kawusia, nie, wygląda, zachęcająco]",5.0,0.0,"Sami zobaczcie, czy ta poranna kawusia nie wygląda zachęcająco?",9.0,9.0,0.0
positive,positive,[świetny],"[ekspres, za, tę, cenę, naprawdę, super, świetny, wygląd, prosta, obsługa, dzięki, funkcji, ""spieniacza"", można, zrobić, naprawdę, super, kawę, podgrzewanie, filiżanek, mało, funkcjonalne, polecam]",5.0,0.08695652173913043,"Ekspres za tę cenę naprawdę super! świetny wygląd, prosta obsługa.  Dzięki funkcji ""spieniacza"" można zrobić naprawdę super kawę! Podgrzewanie filiżanek mało funkcjonalne!  POLECAM",23.0,23.0,1.0
positive,positive,"[świetny, sprawa]","[ekspres, za, tą, cenę, naprawdę, super, świetny, wygląd, prosta, obsługa, i, przygotowuję, naprawdę, super, kawę, podgrzewanie, filiżanek, mało, funkcjonalne, w, kwestii, ""spieniacza"", jak, tylko, nabierze, się, troszkę, doświadczenia, świetna, sprawa, polecam]",4.0,0.06451612903225806,"Ekspres za tą cenę naprawdę super! świetny wygląd, prosta obsługa i przygotowuję naprawdę super kawę! podgrzewanie filiżanek mało funkcjonalne! w kwestii ""spieniacza"" jak tylko nabierze się troszkę doświadczenia świetna sprawa! POLECAM",31.0,31.0,2.0
neutral,positive,[],"[plamki, rdzy, na, tacce, ociekowej]",4.0,0.0,plamki rdzy na tacce ociekowej ,5.0,5.0,0.0
neutral,positive,[],"[kawa, z, tego, ekspresu, świetnie, smakuje, na, początku, mieliśmy, z, żoną, problemy, ze, spienianiem, mleka, ale, to, tylko, kwestia, wprawy, nasi, goście, są, zachwyceni, podawaną, przez, nas, kawą, ekspres, zbudowany, jest, z, solidnych, materiałów, bardzo, ładnie, prezentuje, się, w, kuchni]",4.0,0.0,"Kawa z tego ekspresu świetnie smakuje. Na początku mieliśmy z żoną problemy ze spienianiem mleka, ale to tylko kwestia wprawy. Nasi goście są zachwyceni podawaną przez nas kawą. Ekspres zbudowany jest z solidnych materiałów, bardzo ładnie prezentuje się w kuchni. ",40.0,40.0,0.0
positive,positive,[ładny],"[bardzo, ładny, wygląd, ekspresu, przystępna, cena, kawa, wychodzi, bardzo, dobra, spienianie, mleka, ok, ekspres, jest, kompatybilny, z, saszetkami, esepoza, tym, kawę, można, parzyć, nie, tylko, w, małych, filiżankach, mieszczą, się, też, większe, kubki]",4.0,0.03787878787878788,"Bardzo ładny wygląd ekspresu , przystępna cena. Kawa wychodzi  bardzo dobra, spienianie mleka ok. Ekspres  jest kompatybilny z saszetkami ese.Poza tym kawę można parzyć nie tylko w małych filiżankach- mieszczą się też większe kubki.",34.0,33.0,1.0
positive,positive,[dobry],"[bardzo, dobry, produkt, w, tej, cenie, bardzo, dobra, kawa, pod, warunkiem, użycia, kawy, dobrego, producenta, dosyc, latwy, w, obsłudze]",4.0,0.04912280701754386,Bardzo dobry produkt w tej cenie. Bardzo dobra kawa (pod warunkiem użycia kawy dobrego producenta). Dosyc latwy w obsłudze.,19.0,19.0,1.0
neutral,positive,[który],"[kawa, po, prostu, rewelka, i, ta, pianka, nawet, co, niektóre, kawiarnie, się, nie, umywają, serwując, to, co, nazywają, kawą, w, porównaniu, do, napoju, który, wydobywa, się, z, tego, urządzenia, o, relatywnie, niskiej, cenie, jak, na, jego, zaspokajające, podniebienie, możliwości]",5.0,0.0,"Kawa po prostu rewelka! I ta pianka! Nawet co niektóre kawiarnie się nie umywają, serwując to, co nazywają kawą, w porównaniu do napoju, który wydobywa się z tego urządzenia o relatywnie niskiej cenie jak na jego zaspokajające podniebienie możliwości.",39.0,39.0,1.0
negative,positive,"[go, go, wada]","[mam, go, już, rok, i, naprawdę, za, tą, cene, go, kupić, i, użytować, niejestem, znawcą, kawy, ale, mi, się, wydaje, ze, naprawdę, robi, świetną, kawę, choć, wszystko, zależy, od, kawy, jedyna, wada, jaką, zauważyłem, to, to, że, może, dtoszkę, głośno, czasmi, chodzi, polecam, w, końcu, co, polskie, to, dobre]",4.0,-0.02040816326530612,Mam go już rok i naprawdę za tą cene go kupić i użytować. Niejestem znawcą kawy ale mi się wydaje ze naprawdę robi świetną kawę choć wszystko zależy od kawy.  Jedyna wada jaką zauważyłem to to że może dtoszkę głośno czasmi chodzi Polecam w końcu co polskie to dobre ,49.0,49.0,3.0
neutral,positive,[],"[wygląd, i, kawa, na, piątkę, nie, piszecie, jednak, o, bardzo, bardzo, głośnej, pracy, pompy, do, tego, stopnia, że, nie, można, przy, niej, rozmawiać, moze, to, tylko, tak, pracuje, w, moim, ekspresie, proszę, o, odpowiedz]",4.0,0.0,wygląd i kawa na piątkę! nie piszecie jednak o bardzo - bardzo głośnej pracy pompy do tego stopnia że nie można przy niej rozmawiać. moze to tylko tak pracuje w moim ekspresie.  proszę o odpowiedz,35.0,34.0,0.0
neutral,positive,"[jedyny, minus]","[wspaniale, spienia, mleko, na, gęstą, ciepłą, piankę, kawa, też, niczego, sobie, esencjonalna, kremowa, jestem, zaskoczona, tak, wysoką, jakością, w, stosunku, do, ceny, jedyny, minus, że, bardzo, sie, nagrzewa, jeśli, non, stop, jest, podłączony, do, prądu, a, żeby, uniknąc, grzania, wyłączam, z, kontaktu, jednak, wtedy, zegar, się, zeruje]",5.0,0.0,"Wspaniale spienia mleko na gęstą ciepłą piankę, kawa też niczego sobie - esencjonalna, kremowa. Jestem zaskoczona tak wysoką jakością w stosunku do ceny. Jedyny minus, że bardzo sie nagrzewa, jeśli non stop jest podłączony do prądu, a żeby uniknąc grzania wyłączam z kontaktu, jednak wtedy zegar się zeruje.",48.0,47.0,2.0
neutral,positive,[],"[ekspres, jest, super, kawa, wychodzi, pyszna, wczesniej, używałam, ekspresu, firmy, krups, i, muszę, się, przyznać, że, nie, widzę, żadnej, różnicy, a, cena, była, trzykrotnie, wyższa, rewelacyjnie, spienia, mleko, jestem, zdecydowanie, na, tak, 0]",5.0,0.0,"Ekspres jest super. Kawa wychodzi pyszna. Wczesniej używałam ekspresu firmy Krups i muszę się przyznać, że nie widzę żadnej różnicy a cena była trzykrotnie wyższa. Rewelacyjnie spienia mleko. Jestem zdecydowanie na TAK :0)",33.0,33.0,0.0
negative,positive,"[zadowolony, bez, głośny, minus]","[jestem, zadowolony, z, zakupunie, testowałem, jeszcze, spieniania, mleka, ale, to, z, powodu, że, wolę, zwykła, czarnąjakość, wykonania, bez, zarzututroszkę, głośny, ale, idzie, sie, przyzwyczaicogólnie, polecamesencja, smaku, wydobyta, a, chyba, to, się, liczyoczywiśćie, w, zależności, jaką, kawę, się, użyjełatwy, do, czyszczeniatylko, niepotrzebnie, działa, non, stop, podgrzewanie, filiżanek, trzeba, wyłączać, z, kontaktu, a, wtedy, kasuje, się, zegar1, minus, za, to]",5.0,-0.017241379310344827,"Jestem zadowolony z zakupu.Nie testowałem jeszcze spieniania mleka ale to z powodu że wolę zwykła czarną.Jakość wykonania bez zarzutu,troszkę głośny ale idzie sie przyzwyczaic.Ogólnie polecam.Esencja smaku wydobyta a chyba to się liczy(oczywiśćie w zależności jaką kawę się użyje).Łatwy do czyszczenia,tylko niepotrzebnie działa non stop podgrzewanie filiżanek trzeba wyłączać z kontaktu a wtedy kasuje się zegar-1 minus za to",58.0,58.0,4.0
neutral,positive,[go],"[użytkuję, go, od, miesiąca, i, jestem, bardzo, zadowolona, bardzo, dobrze, parzy, kawę, i, spienia, mleko, podgrzewa, filiżanki, dobrze, wykonany, bardzo, ładnie, prezentuje, się, w, mojej, kuchni, w, stosunku, do, innych, ekspresów, ma, bardzo, dobrą, cenę, do, użytku, domowego, polecam, jest, super]",5.0,0.0,"Użytkuję go od miesiąca i jestem bardzo zadowolona. Bardzo dobrze parzy kawę i spienia mleko, podgrzewa filiżanki.  Dobrze wykonany , bardzo ładnie prezentuje się w mojej kuchni.
W stosunku do innych ekspresów ma bardzo dobrą cenę. Do użytku domowego polecam jest super. ",42.0,41.0,1.0
positive,positive,"[rewelacyjny, smak]","[kupiłam, trzy, miesiące, temu, i, mogę, powiedzieć, że, jest, rewelacyjny, funkcje, ekspresu, smak, i, konsystencja, kawy, identyczna, jak, w, znacznie, droższych, ekspresach, i, do, tego, super, wygląda]",5.0,0.08024691358024692,"Kupiłam trzy miesiące temu i mogę powiedzieć że jest rewelacyjny. Funkcje ekspresu , smak i konsystencja kawy identyczna jak w znacznie droższych ekspresach. I do tego super wygląda.",28.0,27.0,2.0
negative,negative,"[zły, egzemplarz, kropla, kropla, szkoda]","[niestety, trafiłem, chyba, na, zły, egzemplarz, bo, po, wyłączeniu, nalewania, kawy, do, filizanek, kawa, nadal, wypływa, co, prawda, kropla, za, kropla, ale, po, kilku, godzinach, w, funkcji, standby, tacka, ociekowa, się, przepełnia, przekrętło, do, nalewania, jest, w, odpowiedniej, pozycji, na, 0, nawet, po, wyłączeniu, gdy, pozostaje, podłączony, tylko, do, prądu, kapie, z, dyszy, nadal, choć, może, wolniej, uszczelka, jak, to, wygląda, u, was, chyba, pozostaje, jedynie, serwis, gwarancyjny, szkoda]",3.0,-0.06884057971014493,"Niestety trafiłem chyba na zły egzemplarz, bo po wyłączeniu nalewania kawy do filizanek kawa nadal wypływa, co prawda kropla za kropla, ale po kilku godzinach w funkcji STANDBY tacka ociekowa się przepełnia.... Przekrętło do nalewania jest w odpowiedniej pozycji na 0. Nawet po wyłączeniu, gdy pozostaje podłączony tylko do prądu kapie z dyszy nadal - choć może wolniej. Uszczelka???? Jak to wygląda u Was? Chyba pozostaje jedynie serwis gwarancyjny, szkoda....",70.0,69.0,5.0
positive,positive,"[dobry, smak, ja]","[ekspresik, bardzo, dobryza, te, pieniądze, polecam, kawa, bardzo, dobra, spienianie, mleka, też, 32, dobry, smak, kawy, zależy, od, tego, jakiej, uzyjesz, obudowa, solidna, podgrzewanie, filiżanek, moim, zdaniem, zbytecznegdyż, zanim, sie, nagrzeje, to, ja, już, kawę, dawno, przygotuje, troche, tandetne, plastiki, wykańczające, przy, wyświetlaczu, brak, wyrzutu, kawy]",4.0,0.031159420289855074,"ekspresik bardzo dobry..za te pieniądze polecam, kawa bardzo dobra, spienianie mleka też (3,2%). Dobry smak kawy zależy od tego jakiej uzyjesz. Obudowa solidna, podgrzewanie filiżanek moim zdaniem zbyteczne,gdyż zanim sie nagrzeje to ja już kawę dawno przygotuje. Troche tandetne plastiki wykańczające przy wyświetlaczu. Brak wyrzutu kawy",46.0,46.0,3.0
neutral,positive,[ogólnie],"[ekspresik, jest, super, kawa, bdobra, spienianie, mleka, ok, wszystko, zależy, od, tego, jaką, kawę, parzysz, lavazza, rose, mleka, 35, ogólnie, wszystko, na, ""tak""]",5.0,0.0,"Ekspresik jest super. Kawa b.dobra, spienianie mleka ok. Wszystko zależy od tego jaką kawę parzysz (lavazza rose, mleka 3,5%) Ogólnie wszystko na ""TAK""",23.0,23.0,1.0
neutral,positive,[],"[jestem, bardzo, zadowolona, świetna, pianka, mocna, kawa, można, podgrzać, filiżanki, za, tą, cenę, nie, spodziewałam, się, takiej, funkcjonalności, polecam]",5.0,0.0,"Jestem bardzo zadowolona. Świetna pianka, mocna kawa, można podgrzać filiżanki. Za tą cenę nie spodziewałam się takiej funkcjonalności. Polecam",19.0,19.0,0.0
neutral,positive,[nim],"[nie, znam, się, na, takim, sprzęcie, więc, mogę, tylko, napisać, że, instalacja, jest, banalnie, prosta, wręcz, intuicyjna, a, netbook, chodzi, na, tym, bardzo, fajnie, póki, co, nie, było, z, nim, żadnych, problemów, po, prostu, działa, nie, zauważyłem, żeby, internet, na, tym, zamulał]",4.0,0.0,"Nie znam się na takim sprzęcie, więc mogę tylko napisać, że instalacja jest banalnie prosta - wręcz intuicyjna, a netbook chodzi na tym bardzo fajnie.
Póki co, nie było z nim żadnych problemów - po prostu działa - nie zauważyłem, żeby internet na tym zamulał.",45.0,42.0,1.0
negative,positive,"[dobry, sieć, dobry, m, rzeczywisty, m, laptop, towar]","[bardzo, dobry, do, rozbudowy, sieci, bezprzewodowej, dla, klientów, którzy, mają, już, sieć, z, kompami, stacjonarnymi, i, zakupili, laptopa, dobry, zasięg, odbioruokoło, 70, m, rzeczywistychale, to, w, zupełności, wystarcza, między, budynkamiw, polu, otwartym, zasięg, rzeczywisty, około, 130, m, sprawdzone, na, w7, laptop, hp, dv, 9000, trzyletnidobry, towar, polecampozdrawiam, andriuu]",4.0,-0.02361111111111111,"Bardzo dobry do rozbudowy sieci bezprzewodowej dla klientów którzy mają już sieć z kompami stacjonarnymi i zakupili laptopa.
Dobry zasięg odbioru(około 70 m rzeczywistych)ale to w zupełności wystarcza między budynkami.w polu otwartym zasięg rzeczywisty około 130 m.
sprawdzone na w7 laptop hp dv 9000 trzyletni.Dobry towar polecam.Pozdrawiam andriuu.",48.0,48.0,8.0
neutral,positive,[],"[produkt, posiadam, stosunkowo, nie, długojak, na, razie, wszystko, grawygląd, także, miłyprosty, w, obsłudzewystarczający, dla, przeciętnego, zjadacza, chleba]",4.0,0.0,"Produkt posiadam stosunkowo nie długo.Jak na razie wszystko gra.Wygląd także miły,prosty w obsłudze.Wystarczający dla przeciętnego zjadacza chleba.",17.0,17.0,0.0
positive,positive,[idealny],"[dobryniezawodny, sprzęt, idealny, do, mieszkań]",4.0,0.2,"Dobry,niezawodny sprzęt idealny do mieszkań.",5.0,5.0,1.0
neutral,positive,[stosunek],"[jak, na, router, za, 60, zł, to, stosunek, jakości, do, ceny, jest, celujący]",5.0,0.0,Jak na router za 60 zł to stosunek jakości do ceny jest celujący.,13.0,13.0,1.0
positive,positive,"[dobry, duży]","[bardzo, dobry, router, do, sieci, domowej, łatwa, konfiguracja, duży, zasięg, polecam]",5.0,0.0696969696969697,"Bardzo dobry router do sieci domowej, łatwa konfiguracja, duży zasięg, polecam",11.0,11.0,2.0
positive,positive,"[cały, czas, stacjonarny]","[pracuje, już, prawie, rok, cały, czas, włączony, niezawodnie, łączy, 2, lapki, po, wifi, i, stacjonarny, po, kablu, zasięg, w, bloku, do, sąsiada, przez, cztery, ściany, z, żelbetu, łatwa, konfiguracja, tani]",4.0,0.01111111111111111,"Pracuje już prawie rok, cały czas włączony, niezawodnie łączy, 2 lapki po WiFi i stacjonarny po kablu, zasięg w bloku do sąsiada przez cztery ściany z żelbetu. Łatwa konfiguracja. Tani.",30.0,30.0,3.0
neutral,positive,[],"[w, porządku]",4.0,0.0,w porządku,2.0,2.0,0.0
neutral,positive,[jeden],"[jeden, z, najtańszych, na, rynku, ma, służyć, do, dzielenia, internetu, z, kablówki, i, w, tej, roli, sprawuje, się, bardzo, dobrze, obsługuje, szyfrowanie, wpa2, klonowanie, macka, natomiast, nie, widzę, regulacji, mocy, sygnału]",4.0,0.0,"Jeden z najtańszych na rynku :) Ma służyć do dzielenia Internetu z kablówki i w tej roli sprawuje się bardzo dobrze. Obsługuje szyfrowanie WPA2, klonowanie MACka, natomiast nie widzę regulacji mocy sygnału",32.0,31.0,1.0
neutral,positive,[],"[super, tani, ap]",5.0,0.0,Super tani AP.,3.0,3.0,0.0
positive,positive,[godny],"[router, godny, polecenia, cena, nie, jest, wygórowana, a, możliwości, ma, niezłe, i, co, najważniejsze, konfiguracja, jest, prosta, mam, podpiętego, pc, kablem, i, lapka, na, wifi, nie, zauważyłam, aby, gubił, sygnał, net, też, płynnie, chodzi]",4.0,0.04411764705882353,"Router godny polecenia, cena nie jest wygórowana a możliwości ma niezłe.
I co najważniejsze, konfiguracja jest prosta.
Mam podpiętego PC kablem i lapka na WiFi.
Nie zauważyłam aby gubił sygnał, net też płynnie chodzi ;)",35.0,34.0,1.0
positive,positive,"[łatwy, dobry]","[sprzęt, bardzo, łatwy, w, instalacji, dobry, zasięg]",5.0,0.2761904761904762,"Sprzęt bardzo łatwy w instalacji, dobry zasięg",7.0,7.0,2.0
negative,positive,"[idealny, raz, ja]","[idealny, produkt, dla, ludzi, ktorzy, nie, za, bardzo, znaja, sie, na, konfiguracji, routerow, instalacja, intuicyjna, polecam, za, tak, niska, cene, mamy, fajne, rozdzielenie, sygnalu, jeszcze, raz, polecam, ja, juz, 5, szt, zalozylem, znajomym, pozdrawiam]",4.0,-0.029411764705882353,idealny produkt dla ludzi ktorzy nie za bardzo znaja sie na konfiguracji routerow. instalacja intuicyjna. polecam. za tak niska cene mamy fajne rozdzielenie sygnalu. jeszcze raz polecam. ja juz 5 szt zalozylem znajomym. pozdrawiam,34.0,34.0,3.0
positive,positive,"[ten, drugi, zadowolony, zadowalający]","[witam, posiadam, ten, router, już, drugi, rok, i, jestem, z, niego, jak, najbardziej, zadowolony, zasięg, jak, na, mieszkanie, zadowalający, jak, za, takie, pieniądze, zdecydowanie, polecam, każdemu, do, zastosowań, typowo, domowych, przeglądanie, stron, www, uploud, downloud, komunikacjawadą, jest, to, że, nie, posiada, przełącznika, onoff]",4.0,0.05232558139534884,"Witam. Posiadam ten router już drugi rok i jestem z niego jak najbardziej zadowolony. Zasięg jak na mieszkanie zadowalający, jak za takie pieniądze zdecydowanie polecam każdemu, do zastosowań typowo domowych (przeglądanie stron www, uploud, downloud,   komunikacja)Wadą jest to, że nie posiada przełącznika on/off.",43.0,43.0,4.0
positive,positive,"[funkcjonalny, bezawaryjny]","[funkcjonalny, bezawaryjny]",4.0,1.5,"funkcjonalny, bezawaryjny",2.0,2.0,2.0
neutral,negative,[klasy],"[może, nie, najwyższej, klasy, ale, na, podstawowe, potrzeby, dla, przeciętnego, użytkownika, jak, znalazł]",3.0,0.0,"Może nie najwyższej klasy, ale na podstawowe potrzeby, dla przeciętnego użytkownika, jak znalazł.",13.0,13.0,1.0
neutral,positive,[],"[jak, dla, mnie, bardzo, dobre, urządzenie]",5.0,0.0,jak dla mnie bardzo dobre urządzenie,6.0,6.0,0.0
positive,positive,[funkcjonalny],"[bardzo, funkcjonalny, i, niedrogi]",4.0,0.25,bardzo funkcjonalny i niedrogi.,4.0,4.0,1.0
neutral,positive,[],"[jest, ok, ani, razu, się, nie, zepsuł]",5.0,0.0,"jest ok, ani razu się nie zepsuł",7.0,7.0,0.0
positive,positive,"[godny, łatwy, funkcjonalny]","[potwierdzam, wszystkie, pozytywne, opinie, wystawione, przez, poprzedników, produkt, godny, polecenia, łatwy, w, ubsłudze, funkcjonalny, i, stosunkowo, tani]",5.0,0.20588235294117646,"Potwierdzam wszystkie pozytywne opinie wystawione przez poprzedników. Produkt godny polecenia. Łatwy w ubsłudze, funkcjonalny i stosunkowo tani.",17.0,17.0,3.0
positive,positive,[fajny],"[bardzo, fajny]",5.0,0.75,Bardzo fajny.,2.0,2.0,1.0
positive,positive,"[go, bez, łatwy]","[mam, go, już, trzy, lata, i, śmiga, bez, zarzutu, tani, i, łatwy, w, obsłudze, zdecydowanie, polecam]",5.0,0.0625,"Mam go już trzy lata i śmiga bez zarzutu. Tani i łatwy w obsłudze.
Zdecydowanie polecam.",16.0,16.0,3.0
