comment,emotion,rate
oni musza te role zagrać                         Matt Bomer i Alexis Bledel.              ,positive,10
"Christian                        Jego musi zagrać Matt Bomer! Nie wyobrażam sobie innego aktora do tej roli, on jest idealny :) Ten film dużo straci, jeśli on w nim nie wystąpi :)              ",positive,6
"Anastasia                        Szczerze mówiąc, to do Anastasi pasuje mi Lily Collins. Ale nie jestem pewna, czy ona jest na tyle dobrą i odważną aktorką, żeby dać radę zagrać tę rolę ://///              ",neutral,5
Kto Powinien zagrać                        Bez wątpienia powinien zagrać Ryan Gosling kto za!!!!!              ,positive,7
"Cara Delevingne=Kate                        Ponoć ma zagrać Kate, najlepszą przyjaciółkę Any.. Co o tym myślicie..? Wolałabym żęby Kate zagrała Blake Lively..:P              ",neutral,5
"domniemani aktorzy                        Powiem wam, ze aż nie chce mi się wierzyć, że tak ciency aktorzy byli choćby brani pod uwagę do tak bestsellerowej produkcji. Większość z nich jest jednistrzałowcami kojarzącymi się tylko z jednej roli w serialu lub tylko i wyłącznie z produkcjami niskich lotów. Myślę, że nie ma co się napalać i czekać na jakieś prawdziwe informacje. Ja osobiście najbardziej w roli Any i Greya widzę Kunis i ...              ",neutral,5
"Faworytka Na Anastazję według autorki książki                        to Shailene Woodley. Moim zdaniem dobry wybór, bo jeśli patrzeć na ciekawostki to chyba ona się najlepiej nadaje, gdyż Kristen Stewart lub Emma Watson nie pasują, a Mila Kunis, no cóż... jest o 10 lat za stara. ;p              ",negative,2
Rezyser                        E.L. James wybrała na rezysera Sam Taylor-Johnsonhttp://i.imgur.com/IWyggXK.png              ,positive,6
"Obejrzę to dla beki                        Książka była beznadziejna, pomimo tego i tak nie mogę doczekać się filmu :))              ",negative,4
"Kogo obsadzilibyście w tych rolach?                        Ja myślałam serio nad Niną Dobrev, jest dobrą aktorką i pasowałaby mi do tej roli, tak sobie właśnie wyobrażałam Anastasię. Natomiast w roli Christiana widziałabym, w sumie to sama nie wiem ale chyba Ryana Goslinga (mimo iż nie był brany pod uwagę, a szkoda). Katherine Kavanagh (przyjaciółka Anastasii) mogłaby zagrać Emma Watson. Jakie jest wasze zdanie na ten temat?              ",positive,8
OFICJALNIE WYBRANI AKTORZY!!!                        http://www.papilot.pl/kultura/ 22355/7/-To-jego-kobiety-chca- ogladac-w-roli-Christiana-Grey a-Strzal-w-dziesiatke-czy-muro wana-klapa.htmlOficjalnie Alexis i Ian!              ,neutral,5
Czy to prawda ? Gosling w filmie?                        Widziałam jakieś zapowiedzi że Ryan Gosling ma grać ? Wiecie czy to prawda i kogo? ;)              ,positive,8
Grey!!                        http://www.filmweb.pl/person/M att+Bomer-145202 To jest idealny kandydat na Szarego!              ,positive,10
Grey?                        Odtwórcą głównej roli ma zostać Alex Pettyfer. Jak dla mnie dość trafiona obsada .              ,negative,4
Proponowana obsada                        Moje typy:Grey:- Ian Somerhalder - http://interviews.thevro.com/w p-content/uploads/2011/05/ian- somerhalder-1352850900.jpg- Matt Bomer - http://cdn.ipetitions.com/user -images/_tmp_/713430941841704. jpg?r=0.030609235155007186Anastasia:- Emilia Clarke - http://wallpaperpassion.com/up load_puzzle_thumb/27679/emilia -clarke-wallpaper.jpg- Nina Dobrev - ...              ,positive,7
"żadna literatura....                        nie róbmy tu błędnej opinii tej książce-to żadna literatura!styl pisania nie jest zbyt górolotny, pani E.L.może zaliczyłaby tą ""słynną"" w kręgach gimazjalnych charakterystykę z wczorajszego egzaminu;P i to w zasadzie tylko dla Pana Greya, bo Ana nie jeste zbyt klarownie nakreślona...co chwyta za serce, czy też inne części- u każdego indywidualnie;)-to klimat książki i ten archetyp-Księcia i ...              ",negative,3
"Proponowana obsada jest straszna                        Moim zdaniem najlepszy byłby (odnosząc się do książki) Matt Bomer lub Channing Tatum na rolę Greya, a na Anastasię Mila Kunis albo Lyndy Fonseca              ",negative,4
Jest zwiastun :)                        http://amandanewss.blogspot.co m/2013/03/fifty-shades-of-grey -trailer-2013.html              ,negative,3
Co rozpali faceta?                         Kobiety i mężczyźni? Pytanie do was wszystkich. Zastanawiam się który fragment spośród dwóch części Greya rozpaliłby bardziej mężczyznę? Czy ten kiedy w tomie I Ana po raz pierwszy robi szaremu l***a czy ten z tomu II gdy to on dogadza jej na fortepianie? Jak myślicie???               ,neutral,5
"Christian Bale                        dla mnie on by był idealnym Greyem, o nim myślałam przez cała książkę bardzo mi się kojarzył przez American Psycho ;)A do Any troche mi pasuje Rachel Bilson ale mam wątpliwości co do jej umiejetności aktorskich, wyglad dla mnie idealny.Kate tutaj 100% Blake Lively to jest po prostu ona.              ",negative,2
"Rola Christiana Greya !                         Moim zdaniem najlepszy do roli Christiana będzie Matt Bomer &lt;3Choć nadawaliby się jeszcze według mnie Chris Pine oraz Kevin Zegers.Wiem, wiem że prawie wszystkie chcemy boskiego Matta Bomera, ale tych co wypisałam są niczego sobie. Jak ich widzicie w roli Christiana ? ;)              ",positive,7
Wow !                        Obsada nie zachęca ! Czuję że to porażka !!!              ,neutral,5
"Fifty Shades Of Grey - Unofficial Trailer 2012 [HD]                        Chciałabym, żeby film wyglądał właśnie tak: http://www.youtube.com/watch?v =swSA_GiB0g0  ;)Oby moje przypuszczenia się sprawdziły i żeby film był równie dobry jak książka.               ",negative,4
to będzie serial tv ?                        wolałabym dłuższy film...              ,positive,9
Ian Somerhalder i Ashley Greene albo Amanda Seyfried                        tylko nie ta alexis bledel ...przeciez ta nie ma w sobie ani grama seksapilu polozy caly film...:(              ,negative,4
A co Wy na to aby zagrali....                        Luke Evans i Jessica Biel? :)Bardzo spodobała mi się propozycja Tom Hardy i szukam do niego aktorki :)              ,neutral,5
Tom Hardy i Mila Kunis??????????????                        Co sądzicie o ich ewentualnym (wątpliwym) występie w filmie?              ,neutral,5
"teledysk z Jonathan Rhys Meyers                        Obejrzyjcie sobie ten teledysk - wiem, że to do innego filmu, ale Jonathan Rhys Meyers i w ogóle cały pomysł na ten clip bardzo mi pasuje do książki. Bardzo zmysłowy. Co wy na to?http://www.youtube.com/watch?v =4AhpoqTkuwYJakby lin nie działał szukajcie na YT:  Apparat - You Don't Know Me              ",neutral,5
"nie rozumiem fenomenu ksiązki.                        Przeczytałam całą trylogię o Grey'u i niestety nie rozumiem dlaczego książka ta cieszy się tak wielkim wzięciem. Sam pomysł (mówię tu o postaci Chrsitiana Grey'a) całkiem ciekawa, jednak reszta postaci jest oklepana. Postać Kate, Ray'a, a nawet główna bohaterka - Anastasia są bardzo schematyczne. Opisy doznań seksualnych młodej dziewczyny zaczęły mnie nudzić już w połowie pierwszej ...              ",negative,3
"Matt Bomer i tyle w temacie. Gdy czytam tę książkę, właśnie go mam przed oczami, choć nigdy nie oglądałem żadnego filmu z nim.                        Z Anastasią producenci mają już większe pole do popisu. Jest kilka aktorek, które pasują do jej postaci jak ulał. Niemniej uważam, że każdy inny aktor niż Matt Bomer w roli Greya będzie błędem.              ",negative,3
"Gatunek Melodramat????!!!!!                        Owszem niektóre rzeczy można powiedzieć że były melodramatyczne, ale żeby cały film wrzucić do gatunku jako melodramat to nie ma takiej opcji, kilka gatunków powinno być, a przede wszystkim jako erotyk.              ",positive,9
"Denerwujące!                        Czy tylko mnie denerwuje to czekanie na ogłoszenie obsady? :D Wkurzają mnie już te spekulacje i domysły! Ja chcę już wiedzieć! Skoro film ma wyjść w tym roku, to nie wierzę, że oni jeszcze nie zdecydowali! Lubią nas torturować! :)              ",positive,7
"Główna rola męska!!!                        Zagra ją... Panie i Panowie, Ian Somerhalder!!!!!!!!!! Z czego cieszę się niezmiernie :D              ",positive,7
"Nie wiem czy, było ale cudo.... :)                        http://www.fashionnstyle.com/a rticles/4974/20130209/fifty-sh ades-grey-movie-casting-new-tr ailer-stars-matt-bomer-alexis- bledel-christian-grey-ana-stee le-watch-video.htmfanowski zwiastun na dole strony :)              ",positive,7
"Tylko NIE Kristen Stewart!!!!!                        Błagam, tylko nie ona !!  zniszczy mi wizerunek Anastasii, tak jak zniszczyła Belli ..Co to roli Christiana... hmm.... może colin Egglestfield ? Chociaż ja polecam Henriego Cavilla !! Super wyszedł w jednym z zwiastunów.. !              ",positive,8
"Nuta hipokryzji...                        Z postów na przeróżnych portalach, nie tylko tych filmowych, kłótnia kłótnię goni. Trylogia potwornie poróżniła ludzi w aspekcie seksualnym i na płaszczyźnie literackiej. Nie zamierzam kwestionować niczyjego zdania, bowiem nie jest to moją rolą, jak wiadomo każdy ma własne poglądy. Jedyne, co mogłam zrobić to rozdzielić ową Trylogię na dwa aspekty - mały plus i duży minus dla autorki, która sama ...              ",negative,1
Obsada - kogo typujecie?,negative,4
"zmierzch                        Czytałam dwie częsci 50 twarzy Greya i miałam wra żenie ,że czytam Zmierz tylko w wersji porno. W wersji HARD porno. Jestem pewna, ze Stewart nadawalaby się do tej roli, bo mimo,ze wielu uważa,że nie jest atrakcyjna, ja uważam,że ma w sobie TO COŚ czego nie posiadają inne kandydatki.               ",negative,4
Matt Bomer For Christian Grey!! ;)                        Matt Bomer For Christian Grey!! ;)              ,positive,9
"Jaka kategoria wiekowa?                        Oczywiście, po przeczytaniu części pierwszej jedynym słusznym wyborem wydaje się być NC-17.Ale no właśnie - twórcy liczą zapewne na duży sukces kasowy, a z taką kategorią może być naprawdę ciężko o chociażby solidny wynik.Z drugiej strony, jeśli dobrze mi wiadomo kategoria R dopuszcza co najwyżej ""lekką erotykę"", a takiej w książce nie ma wcale - jak się pieprzą to po całości.Trochę ...              ",neutral,5
"Melodramat !?                        Kurczę, czy ktoś naprawdę uznał to za melodramat czy to pomyłka!? Już prędzej pasowałoby - tragedia. Doskonale opisywałoby to poziom tej książki oraz samej fabuły.... Eh...              ",neutral,5
Moja propozycja                        Jonathan Rhys/Christian Bale - Christian GreyLyndsy Fonseca- Anastasia Steele               ,positive,7
Data                        Czy znana jest mniej więcej data premiery tego filmu?              ,positive,8
''Fifty Shades Of Grey '' Trailer                        http://www.youtube.com/watch?v =0-s1Yjbn_3c              ,neutral,5
''Fifty Shades Of Grey '' Trailer                        http://www.youtube.com/watch?v =0-s1Yjbn_3c              ,neutral,5
Ana..                        A kto w roli Any? Jakies pomysły?               ,neutral,5
"Na temat książki                         Piękna i Bestia (z dildo w ręku)Początek książki zapowiadał że zasnę z nudów czyli, nie ma co ukrywać, czytamy kolejną wariację na temat „Zmierzchu”, czyli jest banalnie i sztampowo; naiwna młoda studentka, oczywiście szara myszka z wielkimi kompleksami i z całkowitym brakiem wiary w siebie, poznaje przypadkowo swojego wymarzonego księcia z bajki – bogatego miliardera o wyglądzie „Dawid Michała ...              ",negative,1
"Film będzie klapą                        Ja uważam, że film będzie kompletną klapą. Oczywiście od razu jak wyjdzie na rynek postaram się go zobaczyć....Ci do czytali Fifty Shades of Grey i całą trylogię będą wiedzieli o co mi chodzi. Jest tam dużo scen seksu, więc żeby oddać całą atmosferę ksiązki musieliby zrobic film porno.               ",negative,4
bohaterowie                        Miłym aktorem w odbiorze postaci Greya byłby także Hayden Christensen: http://4.bp.blogspot.com/-ELFS aootDKo/Tg3_ZZsodqI/AAAAAAAAAN A/DLCvTpOe9UI/s1600/Hayden%252 BChristensen.jpgA Anastasja to urocza i skromnie wyglądająca aktorka Alexis Bledel: http://www.all-wallpapers.net/ wallpaper/alexis-bledel/Pasowaliby do siebie:)              ,positive,6
"Pięćdziesiąt twarzy Greya w 4 minuty.                        http://www.youtube.com/watch?v =nQJACVmankYPoprawcie mnie jeśli się mylę, ale wg mnie fabuła jest taka sama.              ",neutral,5
Alexander Skarsgård w roli Christiana                         to spełnienie moich marzeń ;))  swietnie wypadł w reklamie calvina kleina !!! idealnie jak christian               ,neutral,5
Główna rola męska                        A co myślicie o Edzie Westwicku w roli Greya ?              ,positive,6
Kiedy premiera filmu? Wiadomo kto zagra?                        Kiedy premiera filmu? Wiadomo kto zagra?              ,positive,6
"obsada                        CHRISTIAN BALE NA GREYA I CHRISTINA RICCI NA ANĘ. byłoby idealnie. szkoda, że są za starzy. no i wybierają bardziej ambitne produkcje, niż softporn dla młodzieży.              ",negative,3
"Ryan Gosling jako Christian Grey                        Przez całą książkę widziałam jego w tej roli. Nie umiem sobie wyobrazić kogoś innego, chociaż nie jest jakoś zabójczo piękny, ani nie znajduje się na liście moich ulubionych aktorów, po prostu nie umiem sobie wyobrazić kogoś innego, no ale popatrzcie na niego:http://24.media.tumblr.com/tum blr_mdjaadOz0R1rgseqjo1_500.jp g              ",negative,3
"Książka                        Hej :) Mam pytanie do tych co czytali. Własnie zaczelam czytac i jestem bardzo nakrecona na ksiazke, ale zastanawia mnie co bedzie w drugiej i trzeciej czesci. Slyszalam ze byla Greya wroci ale na tym sie konczy. Moglby ktos dac troche spojlerow :D              ",negative,3
"Być może Mila Kunis będzie Aną                        Pojawiła się info  w sieci, że Mila Kunis negocjuje przyjęcie roli Any..Poniżej link...http://www.examiner.com/articl e/mila-kunis-negotiations-for- fifty-shades-of-grey-role-of-a nastasia-steele              ",negative,4
Pytanko do tych co czytali :)                        W Ameryce jest ta książka w pewien sposób wyśmiana za nadmierną erotyczność. Nie czytałam więc nie mogę się wypowiedzieć na ten temat ale pytam was? Naprawdta książka jest aż tak erotyczna?? Jak się to odbije na filmie?? Aktorzy bedą nago?? Nie pasuje mi to troche do gwiazd branych pod uwage do tych ról -.- Mogą być nawet Spoilery tylko proszę powiedzcie jak wy to widzicie? ;)              ,positive,8
Jonathan Rhys Meyers                        on też był by dobry do tej roli ..tak uważam..te usta pasują jak ulał :) ale rola kobieca...? ... hmmm              ,negative,3
"Jakie są wasze przewidywania odnośnie zysków w box office?                        Myślicie, że publiczność tak samo chętnie ""sięgnie"" po bilety, co po książkę?              ",negative,3
"Znając życie...                        wezmą  powiedzmy delikatnie osoby o niskiej aparycji :PZresztą i tak nikomu by nie dogodzili ;) Każdy ma swój gust....Gdyby nie opis książkowego bohatera, ja wybrałabym Daniela Sunjatę na P. Greya a P. Steele nie mam bladego pojęcia ;)              ",positive,10
"Świerzo po...                        Większość skupia się na tematyce perwersyjnych wizji seksu Greya, jednak to jest tylko tłem i skutkiem przeżyć, jakich doznał jako mały chłopiec. Nie czytałam książki  więc nie mam porównania, ale liczyłam,że z czasem,dramat erotyczny przejdzie w psychologiczny...niestety,wind a...ciach ...napisy. Czuję niedosyt.              ",positive,7
"CZekam na drugą część :D                        Już nie mogę się doczekać dwójki, obczytuję blogi, bo jeszcze tyle czasu. Czytałam, że już nagrali ślub Any i Christiana http://noweobliczegreya.pl/fif ty-shades-freed-pierwsze-zdjec ia-slubu/ bo podobno lecą od razu dwójkę i trójkę. Ciekawe jak im to wyjdzie.              ",positive,8
Kocham Christiana Greya                        Uwielbiam ten film i czekam na kolejną część. Dla tych co lubią poczytać newsy o Greyu i chcą obejrzeć film http://filmonline.fiftyshadesd arker.pl/              ,positive,8
"Upadłe pragnienia                         ''50 twarzy Greya'' to rzecz w ostatnich miesiącach tak namiętnie reklamowana, jakby miała zmienić życie każdego obywatela pod słońcem. Mawia się, że dobre produkty nie wymagają marketingu, bo i tak się świetnie sprzedadzą, a te, które są ''niepewne'', należy promować by naiwni homo sapiens zgarniali je z półek garściami. Nawet nie lubiący reklam (żywo reagujący przełączeniem na inny kanał podczas ...              ",negative,1
"świeżo po obejrzeniu filmu...                        Długo się wzbraniałam przed obejrzenie tego badziewia, ale i w końcu na mnie przyszedł czas... Takie porno dla 15 latek i podstarzałych kur domowych... Do tego tak nierealne, że aż głowa boli...Z oglądaniem tego filmu jest jak z jedzeniem m&m-sów z Tesco dla ubogich...niby są kolorowe, słodkie i mają orzechy, ale to nie jest to co w pierwowzorze... I tak tu na świeżo po oglądnięciu ...              ",neutral,5
"TEN FILM DOTYCZY NAS WSZYSTKCIH, BEZ WYJĄTKU !!! KROK MILOWY W HISTORII KINA ?                        Nie czytałem książki. Przed obejrzeniem filmu byłem nastawiony bardzo krytycznie słysząc głosy krytyki, no i ta ocena 4,7 - bardzo, bardzo krzywdząca. Nie jestem kinomanem z doskoku, oglądam wszystkie filmy oscarowe, zaliczyłem Bergmana i Antonioniego więc wydaje mi się, że jakieś pojęcie mam i mówię wam - ten film nie jest tak zły jak go ...              ",positive,8
"Dno i pięćdziesiąt kilo mułu                        Jedna wielka porażka. Nie czytałam książki, gdyż nie gustuje w tego typu ""dziełach"". Byłam i będę krytykiem Greya, bo jest to przereklamowane COŚ, które ludzie kupili. Przynajmniej większość. Wiele dziewczynek z gimnazjum zachwyca się tym filmem i aktorem, który jest średniego wyglądu. Gdy przez te 15 minut oglądania (nie dałam  rady więcej) miałam wrażenie, że ta cała Ana włożyła mu coś ...              ",negative,1
"Mam pytanie, dziewczyny mówią, że chcą faceta, który je szanuje, a zachwycają i podniecają się facetem, który na ekranie tłucze dziewczynę to co w końcu                        jest prawdą? Bo chyba wynika z tego, że deklaracji kobiet nie należy brać poważnie tylko robić odwrotnie? Może to wyjaśnia dlaczego wszyscy moi znajomi, którzy są mili i szanują swoje kobiety tracą je w końcu na rzecz brutalnych prymitywów, niejednokrotnie z ...              ",negative,1
"Oczami Mastera i uległej                        ... na temat scen BDSM trudno się wypowiadać bo są dopasowane do 16 letniego widza czyli pieszczoty, klapsy, lekkie wiązanie, kostki lodu innymi słowy to co 16 latek może wypróbować bezkarnie na swojej koleżance, której zaproponował chodzenie....Całej recemzji szukaj na blogu Harem BDSM              ",positive,9
"Jestem zaskoczony                        No dobrze Drogie Panie,obejrzałyście,podobało się,chwila wytchnienia od rzeczywistości ale już czas powrócić do szarości dnia codziennego. Naprawdę tego chcą dzisiejsze kobiety?? O tym marzą cichutko czytając książkę przy nocnej lampce?? Mam być taki jak Grey?? Pozwólcie mi zrozumieć              ",negative,1
Czego Anastasia się spodziewała?,negative,1
"7/10                        Film nie jest taki zły jak książka. Przed napisaniem postu za poleceniem paru osób , sięgnęłam po wersję elektroniczną trylogii.Książka nie przypadła mi do gustu, nie będę się rozpisywać dlaczego ponieważ tutaj by wyjaśnienie nie pasowało.A co do filmu, aktorzy zostali dobrani idealnie.Chociaż szkoda że nie było widać chemii na ekranie pomiędzy głównymi aktorami czyli tzw"" zagrajmy to jak najszybciej i miejmy już ...              ",positive,7
"9 1/2 tygodnia(1986)  a  50 twarzy Greya(2015)...                        czy tylko ja widzę pewnego rodzaju podobieństwa/""inspirację. ..""?              ",positive,7
"hm.. ??                        myślę i nie wiem czy zły czy dobry. Czy Grey zły, zepsuty czy zraniony?Ale ciekawy. Dakota zagrała ... bardzo dobrze.              ",positive,7
"hm.. ??                        myślę i nie wiem czy zły czy dobry. Czy Grey zły, zepsuty czy zraniony?Ale ciekawy. Dakota zagrała ... bardzo dobrze.              ",positive,7
"hm.. ??                        myślę i nie wiem czy zły czy dobry. Czy Grey zły, zepsuty czy zraniony?Ale ciekawy. Dakota zagrała ... bardzo dobrze.              ",positive,7
"hm.. ??                        myślę i nie wiem czy zły czy dobry. Czy Grey zły, zepsuty czy zraniony?Ale ciekawy. Dakota zagrała ... bardzo dobrze.              ",positive,7
Do kupienia we Fleszu;)                        Kupiłam dzisiaj obejrzałam dwa razy;)              ,positive,6
jaka piosenka leci w scenie gdy Christian leci helikopterem z Anastazją ?                        Ktoś się orientuje ?              ,negative,3
"Zmiana spojrzenia na film                        najpierw czytałam książkę i oprócz zbyt sztucznego i zbyt ubogiego słownictwa moją uwagę przykuł potencjał historii. Odrzuciłam oczywiście na wstępie fakt że jest to historia powstała z fanfika zmierzchowego;) film jest uroczy, subtelny, przyjemnie zobrazowany a śmiech głównej bohaterki w szybowcu wygląda na szczery. na wiecie scena raz nakręcona a reakcja naturalna;)              ",positive,6
"Oświećcie mnie ;)                        Witam wszystkich serdecznie! Mam pytanko odnośnie treści zawartej w owym filmie.Otóż wybieram się 19 lutego na seans z moją dziewczyną. Dodam, że jestem zielony jeśli chodzi o ten film i książkę. Czego mogę się spodziewać na filmie? Co tam zobaczę? Czy będzie to aż takie straszne jak opisują to wszyscy do okoła? I wreszcie ostatnie pytanie... Czy będzie tam dużo scen erotycznych gdzie będzie widać ...              ",neutral,5
"piosenka z trailer'u, zna ktoś?                         wie ktoś może kto zaśpiewał piosenkę Beyonce- crazy in love do trailer'u?               ",positive,6
"Czy taka kępka włosów na torsie może być sexi ???!!!!                        Napiszcie drogie Panie, proszę :-) Rozumiem owłosione klaty, wygolone, umięśnione lub nie ale takie ch*j wie wydaję mi się beznadziejne. Taki milioner, szarmancki i jakby nie było trochę (a może nawet bardzo) zboczony ""nosi"" takie coś? A co do filmu nie był taki zły, chociaż niektóre sceny głupie do potęgi. Przychodzi na podpisanie kontraktu super przygotowana a ...              ",neutral,5
"Wszechmocny... Hueh                        Szkoda że nie wysłał jeszcze własnej rakiety w kosmos, a na końcu powinien w akcie seksualnym, zrzucić WŁASNĄ(rzecz jasna) bombę atomową, na zaprzyjaźnione miasto. Efekciarstwo i nudy.               ",negative,3
",,Aktorzy""..                        Gra aktorska na poziomie zerówki, zero chemii między głównymi bohaterami, więc życzę kolejnych 2 części w kręceniu. Zdecydowanie za dużo szumu wokół tego ścierwa.              ",negative,2
"A mnie się spodobał                        Film nie jest ani przeciętny ani też wybitny. Jest po prostu dobry.  Nie czytałam książki wiec nie mam takowego porównania, choć czytałam na forum że dużo osób zachwala film a neguje książkę . Uważam, że należy więc oceniać film , nie porównując go do książkowej wersji.  Patrzę na niego przez pryzmat odegranych scen, relacji jakie zbudowali bohaterowie, dobranej muzyki, odpowiedniego montażu itd. A ...              ",neutral,5
"A mnie się spoobał                        Film nie jest ani przeciętny ani też wybitny. Jest po prostu dobry.  Nie czytałam książki wiec nie mam takowego porównania, choć czytałam na forum że dużo osób zachwala film a neguje książkę . Uważam, że należy więc oceniać film , nie porównując go do książkowej wersji.  Patrzę na niego przez pryzmat odegranych scen, relacji jakie zbudowali bohaterowie, dobranej muzyki, odpowiedniego montażu itd. A ...              ",neutral,5
"A mnie się spoobał                        Film nie jest ani przeciętny ani też wybitny. Jest po prostu dobry.  Nie czytałam książki wiec nie mam takowego porównania, choć czytałam na forum że dużo osób zachwala film a neguje książkę . Uważam, że należy więc oceniać film , nie porównując go do książkowej wersji.  Patrzę na niego przez pryzmat odegranych scen, relacji jakie zbudowali bohaterowie, dobranej muzyki, odpowiedniego montażu itd. A ...              ",neutral,5
Nie wiem czemu tak nisko go oceniacie.,positive,8
Nie rozumiem                         Szczerze powiedziawszy nie wiem dlaczego ten film zbiera tyle negatywnych opinii.  Film jest całkiem dobry.  Bardzo ciekawa postacią jest Grey i można to uznać po części za film psychologiczny.  Poza tym jak dla mnie bardzo dobzi aktorzy.  Po zakończeniu filmu czekam z niecierpliwością na drugą część :-)              ,neutral,5
"Jednym slowem ""tragedia""                        Z ciekawości chciałam obejrzeć ten film, wszystko fajnie się zapowiadało. Po pierwszych minutach myślałam że zasnę, dotrwałam do połowy i wyłączyłam, jest mega nudny...              ",negative,1
"Mówcie co chcecie, większość kobiet chciałoby takiego faceta :) 7/10                        Pojechałam na premierę, by nie sugerować się negatywnymi opiniami, które wiedziałam, że będą. Czytałam I część i ta część została zrealizowana. BRAKOWAŁO mi perwersji, bardzo subtelnie był nakręcony ten film. Czułam niedosyt z zakończeniem....jednak gra aktorska, dobór głównych ról i całokształt dobry. Polecam i czekam na ''Ciemniejszą strone Greya'' ...              ",positive,7
Strasznie Nudny Gniot...                        ------------------------------ ------------------------------ ------------------------------ ------------------------------ -----------              ,negative,1
"Zmarnowane 2 godziny życia                        Vanitas vanitatum, et omnia vanitas. Większego kiczu i shitu dawno nie widziałem. No, ale gimbaza ma co oglądać i czym się podniecać. Mogą dodać ten film do kolekcji ""kultura"" w ich sfałdowanym mózgu i umieścić obok takich ""twórców&qu ot; i ""dzieł"", jak Ewelina Lisowska, Avatar, Bieber, Harry Potter i Zmierzch. Tylko współczuć lub wysłać ze śmieciami w kosmos...                ",negative,1
"Cóż.                        Film kierowany typowo do gospodyń domowych, które nie wiedzą, że jest coś poza seksem w nocy pod kołderką. Poszedłem na to tylko ze względu na dziewczynę, wynudziłem się cholernie. Nie polecam, choć może niektórym się spodobać, wszak gusta ludzkie są różne. Dla mnie 3/10.              ",negative,3
"Do wszystkich naiwnych zachwyconych książką.                        Fragment innej książki pokazującej prawdziwe relacje w bdsm. To przedstawiła autorka w swojej ""książce"" to romantyczne wypociny. „Ale się upiłaś... Jesteś śmieszna... kompletnie zalana...następnym razem zbiję cię do krwi. Wychłoszczę ci tyłeki plecy szpicrutą.Zaknebluję cię i nie będziesz mogła krzyczeć.Nie będziesz też mogła płakać, bo założę ci na ...              ",negative,2
Świetny!                        film bardzo mi się podobał. Chętnie bym go zobaczył drugi raz. Przy niektórych scenach z Pokoju Zabaw to miałem otwartą jamę ustną :D Polecam film wszystkim fanom tej serii i takich gatunków filmowych. PS: Jak narazie wysłuchałem dwa rozdział książki ;)Tu daje link do takiej mojej ogólne recenzji jakby ktoś chciał eknąć: http://jarekmaciejewski.blogsp ot.com/2015/02/strac-kontrole- z-panem-greyem.html              ,positive,10
"melodramat :D                        Dawno nie śmiałam się na żadnej komedii tak bardzo, jak na tym ""melodramacie"" :D               ",negative,2
"Żona namówiła mnie na tego gniota                        Jednak po skończeniu filmu sama stwierdziła ""Dobrze, że nie poszliśmy na to do kina"". Dodam, że raz przysnąłem na chwilę, a podobno mają być dalsze części? Litości.              ",negative,3
"Film optymistyczny                        A ja uważam, że jest to film optymistyczny :)  Jednakże stawiam wniosek o przesunięcie kolegi reżysera do sekcji gimnastycznej.              ",negative,2
"Rozczarowanie 4/10                        Film był określany jako ostry kontrowersyjny gorący, perwersyjny a nawet szokujący a wyszło tak jak wyszło. Po tych zapowiedziach spodziewałem się czegoś co będzie inne niż wszystkie filmy z podobnego gatunku niestety tak nie było.    Prosta historyjka romantyczna jak w większości tego typu filmów z drobnymi elementami sado-maso. Jeżeli oczekujecie czegoś kontrowersyjnego, zakazanego  nie ma sensu ...              ",negative,4
"Zmierzch bis                        Film bez fabuły, z drewnianymi postaciami, drętwymi dialogami i zakończeniem w najmniej spodziewanym momencie. Oglądając z dziewczyną na zmianę śmialiśmy się i zasłanialiśmy sobie oczy z zażenowania . Sceny seksu to nic specjalnego, ani nowego. Film bardzo, ale to bardzo bardzo kojarzy mi się z serią Zmierzch i chyba do fanów tego typu filmów jest kierowany. No cóż jestem zmuszony dać 1/10.               ",negative,2
"Jak nie zachwyca kiedy zachwyca, czyli o geniuszu E.L. James słów kilka.",positive,6
Mały spoiler:P,negative,2
"Omijać szerokim łukiem!                        Film tylko dla nastolatek albo niewyżytych mamusiek. Dałabym 1, ale dodałam 1 za muzykę i 1 za Jamiego Dornana, bo nie jest takim kiepskim aktorem jak się może wydawać po tym filmie.              ",negative,3
"Za mała skala ocen                        Powinniście mieć w ocenach jeszcze ""śmiesznie słabe"" "" Film nie jest tak do cna słaby, ale już śmiesznie słaby tak.               ",negative,1
"Fifty shades of boredom..                        Oglądając nieocenzurowaną 2 godzinną wersję myślałam, że usnę. Moja ocena jest tak wysoka ze względu na aktorów, którzy dawali z siebie wszystko, żeby z tego gniota coś wycisnąć, niestety z miernym skutkiem. Każda erotyczna scena była dla mnie żenująca, miałam wrażenie że główny aktor robi to wszystko na siłę, serio więcej chemii było między aktorami Zmierzchu. Jamie Dornan, mimo że jestem ...              ",negative,4
"Soft porno dla romantyczek, ale..",negative,3
"Kompletnie nie rozumiem ""aż"" tak negatywnych opinii.                        Właśnie wróciłam z seansu. Powiem szczerze że byłam przerażona tak duża ilością negatywnych komentarzy, niepotrzebnie. Uważam że: - aktorzy zostali świetnie dobrani do swoich ról. Dakota znakomicie zagrała swoją postać, była przede wszystkim nieidealna! Ale też: skromna, słodka, zapatrzona w Christiana. A Jamie był dokładnie taki jak został opisany w książce. ...              ",positive,9
